id,filename,concrete_tone,concrete_finish,setting,camera,home_style,greenery,light,final_prompt,r2_url,generated_date,status,notes
pslab-001,premium-slab-001.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-001.jpg,2026-04-16,completed,
pslab-002,premium-slab-002.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-002.jpg,2026-04-16,completed,
pslab-003,premium-slab-003.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-003.jpg,2026-04-16,completed,
pslab-004,premium-slab-004.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-004.jpg,2026-04-16,completed,
pslab-005,premium-slab-005.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-005.jpg,2026-04-16,completed,
pslab-006,premium-slab-006.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-006.jpg,2026-04-16,completed,
pslab-007,premium-slab-007.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-007.jpg,2026-04-16,completed,
pslab-008,premium-slab-008.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-008.jpg,2026-04-16,completed,
pslab-009,premium-slab-009.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-009.jpg,2026-04-16,completed,
pslab-010,premium-slab-010.jpg,,,,,,,,,https://images.pourcanvas.com/premium-slab-010.jpg,2026-04-16,completed,
pslab-011,premium-slab-011.jpg,,,,,,,,"A scandinavian home with white smooth render, slim dark-steel window frames, and a flush front face, autumn, a few fallen leaves resting on the slab surface. Dark graphite concrete irregular polygon-cut slabs with fine gravel infill forms the precise ground plane in the foreground. Bright overcast, diffuse shadowless light, sky reads as clean white. dramatic silver overcast, even cool fill, no shadows, sky reads as designed No people. Eye-level shot, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of the portrait frame; slabs occupy the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints and edges, minor efflorescence as soft lighter patches. Gravel infill shows mixed stone sizes, irregular settlement with slight clustering in low spots, and a few stones displaced at slab edges. Portrait orientation 3:4. Photorealistic architectural photography, not illustrated.",https://images.pourcanvas.com/premium-slab-011.jpg,2026-04-16,completed,
pslab-012,premium-slab-012.jpg,,,,,,,,"A raw cast-in-place concrete home with a cantilevered upper storey and deep horizontal shadow lines, summer, full green lawn and mature planted beds. Black concrete large rectangular slabs with tight shadow joints forms the precise ground plane in the foreground. Harsh midday sun, deep geometric shadow inside joints and under every overhang. No people. Eye-level shot, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of the portrait frame; slabs occupy the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints and edges, minor efflorescence as soft lighter patches. Portrait orientation 3:4. Photorealistic architectural photography, not illustrated.",https://images.pourcanvas.com/premium-slab-012.jpg,2026-04-16,completed,
pslab-013,premium-slab-013.jpg,,,,,,,,"A raw cast-in-place concrete home with a cantilevered upper storey and deep horizontal shadow lines, winter, bare lawn, grey sky. Dark graphite concrete offset grid of square slabs with white pea gravel forms the precise ground plane in the foreground. Blue hour, dark indigo sky, warm exterior lighting picks out the slab edges. No people. Eye-level shot, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of the portrait frame; slabs occupy the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints and edges, minor efflorescence as soft lighter patches. Gravel infill shows mixed stone sizes, irregular settlement with slight clustering in low spots, and a few stones displaced at slab edges. Portrait orientation 3:4. Photorealistic architectural photography, not illustrated.",https://images.pourcanvas.com/premium-slab-013.jpg,2026-04-16,completed,
pslab-014,premium-slab-014.jpg,,,,,,,,"A mid-century modern house with strong horizontal roofline, clerestory windows, and board-formed concrete walls, summer, full green lawn and mature planted beds. Dark graphite concrete parallel slab strips separated by grass channels forms the precise ground plane in the foreground. Blue hour, dark indigo sky, warm exterior lighting picks out the slab edges. light drizzle visible on the glass surfaces, pavement showing first wet patches No people. Eye-level shot, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of the portrait frame; slabs occupy the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints and edges, minor efflorescence as soft lighter patches. Grass shows blade height variation — taller at untrafficked edges, shorter along the worn centre — with a few blades naturally overhanging onto the slab edge. Portrait orientation 3:4. Photorealistic architectural photography, not illustrated.",https://images.pourcanvas.com/premium-slab-014.jpg,2026-04-16,completed,
pslab-015,premium-slab-015.jpg,,,,,,,,"strong horizontal roofline, clerestory strip windows, charcoal parallel slab strips with close-cut turf channels running the full depth of the approach, early spring, fresh turf growth. Bright overcast, diffuse shadowless light, sky reads as clean white. Low winter sun breaking through clouds, a single shaft of warm light crosses the slabs diagonally Eye-level, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of frame; hardscape occupies the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Turf strips are close-cut, 10–15mm blade height, flush with the slab surface — not raised, not decorative hedging. Grass reads as a precision joint material, not a garden bed. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-015.jpg,2026-04-22,completed,
pslab-016,premium-slab-016.jpg,,,,,,,,"Japanese residence with shoji-screen facade, black large-format slabs with tight shadow joints, raked dark gravel between slabs, hardscape continues the building's geometry, winter, frost-edged grass, grey sky. Harsh midday sun, deep geometric shadow inside joints and under every overhang. Dramatic silver overcast, even cool fill, no shadows, sky reads as designed Eye-level, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of frame; hardscape occupies the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-016.jpg,2026-04-22,completed,
pslab-017,premium-slab-017.jpg,,,,,,,,"mid-century modern home with horizontal board-formed concrete brise-soleil, pale grey rectangular slabs extending the building's datum line into the forecourt, late autumn, bare branches, immaculate surface. Post-rain, wet reflective sheen on the slabs, overcast ambient, minor puddle in the lowest joint. Eye-level, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of frame; hardscape occupies the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-017.jpg,2026-04-22,completed,
pslab-018,premium-slab-018.jpg,,,,,,,,"mid-century modern home with horizontal board-formed concrete brise-soleil, pale grey rectangular slabs extending the building's datum line into the forecourt, winter, frost-edged grass, grey sky. Bright overcast, diffuse shadowless light, sky reads as clean white. Eye-level, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of frame; hardscape occupies the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-018.jpg,2026-04-22,completed,
pslab-019,premium-slab-019.jpg,,,,,,,,"cantilevered concrete home, dark charcoal parallel slab strips running toward the entrance, narrow precision turf between strips — turf flush with slab surface, not raised, early spring, fresh turf growth. Post-rain, wet reflective sheen on the slabs, overcast ambient, minor puddle in the lowest joint. Low winter sun breaking through clouds, a single shaft of warm light crosses the slabs diagonally Eye-level, 24–35mm equivalent lens, deep depth of field. Architecture fills the upper 60% of frame; hardscape occupies the lower 40%. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Turf strips are close-cut, 10–15mm blade height, flush with the slab surface — not raised, not decorative hedging. Grass reads as a precision joint material, not a garden bed. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-019.jpg,2026-04-22,completed,
pslab-020,premium-slab-020.jpg,,,,,,,,"dark graphite slab with fine shadow joint, early morning side light casting a hard geometric shadow line into the joint channel, surface grain and aggregate visible. Summer, deep green close-cut lawn. Early morning golden side light, long soft shadows raking across the slab joints. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-020.jpg,2026-04-22,completed,
pslab-021,premium-slab-021.jpg,,,,,,,,"dark graphite slab with fine shadow joint, early morning side light casting a hard geometric shadow line into the joint channel, surface grain and aggregate visible. Winter, frost-edged grass, grey sky. Harsh midday sun, deep geometric shadow inside joints and under every overhang. Dramatic silver overcast, even cool fill, no shadows, sky reads as designed Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-021.jpg,2026-04-22,completed,
pslab-022,premium-slab-022.jpg,,,,,,,,"charcoal large-format slab, camera low at 3/4 angle, slab grid receding in deep perspective toward a glazed facade barely visible at the top edge of the frame. Winter, frost-edged grass, grey sky. Blue hour, dark indigo sky, warm interior lighting visible through glazing. Low winter sun breaking through clouds, a single shaft of warm light crosses the slabs diagonally Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-022.jpg,2026-04-22,completed,
pslab-023,premium-slab-023.jpg,,,,,,,,"black concrete slab edge meeting white pea gravel, camera 0.4m from ground looking across the surface, slab fills lower 65% of frame, gravel texture sharp in foreground. Summer, deep green close-cut lawn. Bright overcast, diffuse shadowless light, sky reads as clean white. Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-023.jpg,2026-04-22,completed,
pslab-024,premium-slab-024.jpg,,,,,,,,"black concrete slab edge meeting white pea gravel, camera 0.4m from ground looking across the surface, slab fills lower 65% of frame, gravel texture sharp in foreground. Winter, frost-edged grass, grey sky. Blue hour, dark indigo sky, warm interior lighting visible through glazing. Light drizzle visible on glass surfaces, pavement showing first wet patches Slabs are one to two seasons old: subtle tonal variation across each face, slight darkening at joints, minor efflorescence as soft lighter patches. Portrait 3:4. Photorealistic, not illustrated. No people, no text.",https://images.pourcanvas.com/premium-slab-024.jpg,2026-04-22,completed,
pslab-025,premium-slab-025.jpg,charcoal,polished,patio,,"dark grey fibre cement bungalow, black window frames and a c",mixed cottage garden beds with flowering perennials at the e,"golden hour, warm low side light raking across the concrete ","Low camera angle looking across a charcoal poured concrete backyard patio extending from the rear of the house, dark grey fibre cement bungalow, black window frames and a carport visible ahead. Mixed cottage garden beds with flowering perennials at the edges, green lawn beyond. Golden hour, warm low side light raking across the concrete surface. The surface is a raw cast-in-place concrete pour — lightly polished charcoal surface, low sheen, control joints sharp — control joints and expansion joints visible. Not tiles, not pavers, not slabs. Portrait 3:4. Photorealistic photograph. No people, no text.",https://images.pourcanvas.com/premium-slab-025.jpg,2026-04-23,completed,
pslab-026,premium-slab-026.jpg,near-black,broom,patio,,cedar-clad single-storey family home with an attached garage,mixed cottage garden beds with flowering perennials at the e,mid-morning sun with soft tree-canopy shadows dappled on the,"Low camera angle looking across a near-black poured concrete front courtyard patio beside the entry, cedar-clad single-storey family home with an attached garage visible ahead. Mixed cottage garden beds with flowering perennials at the edges, green lawn beyond. Mid-morning sun with soft tree-canopy shadows dappled on the surface. a small bistro table with two chairs sitting on the patio. The surface is a raw cast-in-place concrete pour — broom finish, deep near-black surface with subtle texture lines — control joints and expansion joints visible. Not tiles, not pavers, not slabs. Portrait 3:4. Photorealistic photograph. No people, no text.",https://images.pourcanvas.com/premium-slab-026.jpg,2026-04-23,completed,
pslab-027,premium-slab-027.jpg,charcoal,polished,driveway,,red brick ranch-style single-family home with a simple pitch,"lush green lawn on both sides, mature deciduous trees in the","golden hour, warm low side light raking across the concrete ","Low camera angle looking across a charcoal poured concrete wide driveway leading to a single-car garage, red brick ranch-style single-family home with a simple pitched roof visible ahead. Lush green lawn on both sides, mature deciduous trees in the background. Golden hour, warm low side light raking across the concrete surface. a white sedan parked in the driveway near the garage door. The surface is a raw cast-in-place concrete pour — lightly polished charcoal surface, low sheen, control joints sharp — control joints and expansion joints visible. Not tiles, not pavers, not slabs. Portrait 3:4. Photorealistic photograph. No people, no text.",https://images.pourcanvas.com/premium-slab-027.jpg,2026-04-23,completed,
pslab-028,premium-slab-028.jpg,light-grey,raw,patio,,single-storey white rendered bungalow with dark window frame,tall established trees casting dappled shade across the grou,mid-morning sun with soft tree-canopy shadows dappled on the,"Low camera angle looking across a light grey poured concrete backyard patio extending from the rear of the house, single-storey white rendered bungalow with dark window frames visible ahead. Tall established trees casting dappled shade across the ground, tidy low planting. Mid-morning sun with soft tree-canopy shadows dappled on the surface. The surface is a raw cast-in-place concrete pour — smooth raw trowel finish, faint aggregate variation in the surface — control joints and expansion joints visible. Not tiles, not pavers, not slabs. Portrait 3:4. Photorealistic photograph. No people, no text.",https://images.pourcanvas.com/premium-slab-028.jpg,2026-04-23,completed,
pslab-029,premium-slab-029.jpg,charcoal,raw,patio,,single-storey flat-roof home with concrete-and-timber facade,"overgrown cottage verge with wildflowers at the edges, old s","bright sunny afternoon, crisp hard shadows falling across th","Low camera angle looking across a charcoal poured concrete backyard patio extending from the rear of the house, single-storey flat-roof home with concrete-and-timber facade visible ahead. Overgrown cottage verge with wildflowers at the edges, old street trees behind. Bright sunny afternoon, crisp hard shadows falling across the concrete. a pair of lounge chairs with a low side table on the patio. The surface is a raw cast-in-place concrete pour — smooth raw pour, slight surface variation, dark and matte — control joints and expansion joints visible. Not tiles, not pavers, not slabs. Portrait 3:4. Photorealistic photograph. No people, no text.",https://images.pourcanvas.com/premium-slab-029.jpg,2026-04-23,completed,
pslab-030,premium-slab-030.jpg,light-grey,raw,driveway,,red brick ranch-style single-family home with a simple pitch,tall established trees casting dappled shade across the grou,mid-morning sun with soft tree-canopy shadows dappled on the,"Low camera angle looking across a light grey poured concrete double-width driveway approaching a two-car garage, red brick ranch-style single-family home with a simple pitched roof visible ahead. Tall established trees casting dappled shade across the ground, tidy low planting. Mid-morning sun with soft tree-canopy shadows dappled on the surface. The surface is a raw cast-in-place concrete pour — smooth raw trowel finish, faint aggregate variation in the surface — control joints and expansion joints visible. Not tiles, not pavers, not slabs. Portrait 3:4. Photorealistic photograph. No people, no text.",https://images.pourcanvas.com/premium-slab-030.jpg,2026-04-23,completed,
